PID,AGE,SQ,Nor_AGE,Nor_SQ,Gender,Type
1,23,2,0,0,1,0
2,23,25,0,0.38,1,0
3,23,17,0,0.25,1,0
4,23,20,0,0.3,1,0
5,23,13,0,0.18,1,0
6,23,13,0,0.18,1,0
7,23,22,0,0.33,1,0
8,23,19,0,0.28,1,0
9,23,18,0,0.27,1,0
10,23,12,0,0.17,1,0
11,23,9,0,0.12,1,0
12,23,20,0,0.3,1,0
13,23,22,0,0.33,1,0
14,23,14,0,0.2,1,0
15,23,22,0,0.33,1,0
16,23,10,0,0.13,1,0
17,23,24,0,0.37,1,0
18,23,17,0,0.25,1,0
19,23,10,0,0.13,1,0
20,23,25,0,0.38,1,0
21,23,15,0,0.22,1,0
22,23,4,0,0.03,1,0
23,23,11,0,0.15,1,0
24,23,14,0,0.2,1,0
25,23,16,0,0.23,1,0
26,23,24,0,0.37,1,0
27,23,7,0,0.08,1,0
28,23,22,0,0.33,1,0
29,23,20,0,0.3,1,0
30,23,17,0,0.25,1,0
31,23,16,0,0.23,1,0
32,23,3,0,0.02,1,0
33,23,25,0,0.38,1,0
34,23,16,0,0.23,1,0
35,23,21,0,0.32,1,0
36,23,16,0,0.23,1,0
37,23,21,0,0.32,1,0
38,23,22,0,0.33,1,0
39,23,15,0,0.22,1,0
40,23,3,0,0.02,1,0
41,29,14,0.17,0.2,2,0
42,29,22,0.17,0.33,2,0
43,29,22,0.17,0.33,2,0
44,29,8,0.17,0.1,2,0
45,29,15,0.17,0.22,2,0
46,29,17,0.17,0.25,2,0
47,29,24,0.17,0.37,2,0
48,29,12,0.17,0.17,2,0
49,29,12,0.17,0.17,2,0
50,29,23,0.17,0.35,2,0
51,29,19,0.17,0.28,2,0
52,29,13,0.17,0.18,2,0
53,29,11,0.17,0.15,2,0
54,29,23,0.17,0.35,2,0
55,29,15,0.17,0.22,2,0
56,29,32,0.17,0.5,2,0
57,29,13,0.17,0.18,2,0
58,29,10,0.17,0.13,2,0
59,29,23,0.17,0.35,2,0
60,29,14,0.17,0.2,2,0
61,29,19,0.17,0.28,2,0
62,29,19,0.17,0.28,2,0
63,29,21,0.17,0.32,2,0
64,29,27,0.17,0.42,2,0
65,29,16,0.17,0.23,2,0
66,29,23,0.17,0.35,2,0
67,29,21,0.17,0.32,2,0
68,29,15,0.17,0.22,2,0
69,29,23,0.17,0.35,2,0
70,29,23,0.17,0.35,2,0
71,29,20,0.17,0.3,2,0
72,29,13,0.17,0.18,2,0
73,29,20,0.17,0.3,2,0
74,29,15,0.17,0.22,2,0
75,29,21,0.17,0.32,2,0
76,29,18,0.17,0.27,2,0
77,29,10,0.17,0.13,2,0
78,29,23,0.17,0.35,2,0
79,29,20,0.17,0.3,2,0
80,29,20,0.17,0.3,2,0
81,24,20,0.03,0.3,1,1
82,24,27,0.03,0.42,1,1
83,24,21,0.03,0.32,1,1
84,24,35,0.03,0.55,1,1
85,24,24,0.03,0.37,1,1
86,24,32,0.03,0.5,1,1
87,24,21,0.03,0.32,1,1
88,24,39,0.03,0.62,1,1
89,24,24,0.03,0.37,1,1
90,24,32,0.03,0.5,1,1
91,24,28,0.03,0.43,1,1
92,24,27,0.03,0.42,1,1
93,24,28,0.03,0.43,1,1
94,24,18,0.03,0.27,1,1
95,24,21,0.03,0.32,1,1
96,24,37,0.03,0.58,1,1
97,24,29,0.03,0.45,1,1
98,24,49,0.03,0.78,1,1
99,24,24,0.03,0.37,1,1
100,24,45,0.03,0.72,1,1
101,24,24,0.03,0.37,1,1
102,24,26,0.03,0.4,1,1
103,24,45,0.03,0.72,1,1
104,24,26,0.03,0.4,1,1
105,24,27,0.03,0.42,1,1
106,24,39,0.03,0.62,1,1
107,24,27,0.03,0.42,1,1
108,24,28,0.03,0.43,1,1
109,24,34,0.03,0.53,1,1
110,24,26,0.03,0.4,1,1
111,24,33,0.03,0.52,1,1
112,24,39,0.03,0.62,1,1
113,24,33,0.03,0.52,1,1
114,24,35,0.03,0.55,1,1
115,24,30,0.03,0.47,1,1
116,24,21,0.03,0.32,1,1
117,24,25,0.03,0.38,1,1
118,24,37,0.03,0.58,1,1
119,24,28,0.03,0.43,1,1
120,24,29,0.03,0.45,1,1
121,27,31,0.11,0.48,2,1
122,27,24,0.11,0.37,2,1
123,27,28,0.11,0.43,2,1
124,27,32,0.11,0.5,2,1
125,27,24,0.11,0.37,2,1
126,27,25,0.11,0.38,2,1
127,27,19,0.11,0.28,2,1
128,27,25,0.11,0.38,2,1
129,27,32,0.11,0.5,2,1
130,27,26,0.11,0.4,2,1
131,27,27,0.11,0.42,2,1
132,27,38,0.11,0.6,2,1
133,27,25,0.11,0.38,2,1
134,27,32,0.11,0.5,2,1
135,27,34,0.11,0.53,2,1
136,27,28,0.11,0.43,2,1
137,27,42,0.11,0.67,2,1
138,27,25,0.11,0.38,2,1
139,27,29,0.11,0.45,2,1
140,27,24,0.11,0.37,2,1
141,27,28,0.11,0.43,2,1
142,27,32,0.11,0.5,2,1
143,27,24,0.11,0.37,2,1
144,27,25,0.11,0.38,2,1
145,27,19,0.11,0.28,2,1
146,27,25,0.11,0.38,2,1
147,27,32,0.11,0.5,2,1
148,27,26,0.11,0.4,2,1
149,27,24,0.11,0.37,2,1
150,27,38,0.11,0.6,2,1
151,27,25,0.11,0.38,2,1
152,27,32,0.11,0.5,2,1
153,27,34,0.11,0.53,2,1
154,27,23,0.11,0.35,2,1
155,27,42,0.11,0.67,2,1
156,27,25,0.11,0.38,2,1
157,27,18,0.11,0.27,2,1
158,27,37,0.11,0.58,2,1
159,27,28,0.11,0.43,2,1
160,27,24,0.25,0.37,2,1
161,32,20,0.25,0.3,1,1
162,32,20,0.25,0.3,1,1
163,32,24,0.25,0.37,1,1
164,32,27,0.25,0.42,1,1
165,32,21,0.25,0.32,1,1
166,32,57,0.25,0.92,1,1
167,32,28,0.25,0.43,1,1
168,32,46,0.25,0.73,1,1
169,32,19,0.25,0.28,1,1
170,32,13,0.25,0.18,1,1
171,32,20,0.25,0.3,1,1
172,32,43,0.25,0.68,1,1
173,32,33,0.25,0.52,1,1
174,32,31,0.25,0.48,1,1
175,32,25,0.25,0.38,1,1
176,32,22,0.25,0.33,1,1
177,32,32,0.25,0.5,1,1
178,32,23,0.25,0.35,1,1
179,32,37,0.25,0.58,1,1
180,32,39,0.25,0.62,1,1
181,32,33,0.25,0.52,1,1
182,32,30,0.25,0.47,1,1
183,32,46,0.25,0.73,1,1
184,32,37,0.25,0.58,1,1
185,32,24,0.25,0.37,1,1
186,32,59,0.25,0.95,1,1
187,32,12,0.25,0.17,1,1
188,32,19,0.25,0.28,1,1
189,32,62,0.25,1,1,1
190,32,24,0.25,0.37,1,1
191,32,48,0.25,0.77,1,1
192,32,31,0.25,0.48,1,1
193,32,25,0.25,0.38,1,1
194,32,22,0.25,0.33,1,1
195,32,24,0.25,0.37,1,1
196,32,39,0.25,0.62,1,1
197,32,19,0.25,0.28,1,1
198,32,33,0.25,0.52,1,1
199,32,28,0.25,0.43,1,1
200,32,19,0.25,0.28,1,1
201,35,28,0.33,0.43,2,1
202,35,33,0.33,0.52,2,1
203,35,30,0.33,0.47,2,1
204,35,37,0.33,0.58,2,1
205,35,34,0.33,0.53,2,1
206,35,32,0.33,0.5,2,1
207,35,35,0.33,0.55,2,1
208,35,57,0.33,0.92,2,1
209,35,22,0.33,0.33,2,1
210,35,29,0.33,0.45,2,1
